51695,55895545,1552809858.0
53290,55895548,1552821615.0
53963,55895550,1552822035.0
53962,55895552,1552821516.0
53036,,1552822035.0
53851,55895563,1551605346.0
53852,55895565,1552553804.0
53853,55895566,1552553862.0
53854,55895568,1552553892.0
53260,,1552814729.0
53034,55895572,1552814729.0
53013,,1552815875.0
53051,55895584,1552550600.0
53052,55895588,1550393389.0
53326,55895595,1550394376.0
53017,,1552814729.0
53216,55895618,1550385708.0
53217,55895621,1550043591.0
53019,,1552814729.0
54428,55895628,1552810014.0
52878,55895633,1552814729.0
54080,55895637,1552814729.0
53010,,1552814729.0
53067,55895647,1551375836.0
53068,55895650,1549793650.0
53008,,1552814729.0
53053,55895681,1551793365.0
53055,55895684,1549788294.0
53056,55895688,1552814576.0
53057,55895691,1552814614.0
53048,,1552814729.0
53049,55895720,1551606427.0
53241,55895722,1552547651.0
54367,55895724,1552547622.0
53245,55895725,1552547670.0
53242,55895727,1550385943.0
53243,55895730,1552816191.0
53050,55895732,1550394450.0
53247,55895737,1550061713.0
53325,55895738,1550506990.0
53255,,1552814730.0
53256,55895745,1552816273.0
53257,55895750,1550782471.0
53261,55895753,1552814730.0
53278,,1552814730.0
53280,55895806,1552548869.0
53281,55895807,1552548700.0
53717,55895808,1552548916.0
53883,55895809,1551604988.0
54368,55895812,1552549371.0
54369,55895815,1552550000.0
51990,55895822,1553008519.0
54241,55895828,1552809544.0
54244,55895832,1552975458.0
53266,55895833,1552832712.0
53196,55895835,1552943499.0
54166,55895836,1552911724.0
54305,55895839,1552831270.0
52482,55895845,1552810978.0
54056,55895849,1552985298.0
53731,55895851,1552809514.0
53919,55895853,1552919468.0
53920,55895854,1552919451.0
53921,55895855,1552919458.0
53922,,1552919464.0
54568,55895860,1552998586.0
52274,55895861,1552640980.0
54191,55895864,1552987711.0
53503,55895866,1552464930.0
54283,55895871,1552975370.0
54285,55895876,1552975344.0
54286,55895877,1552975324.0
54287,55895880,1552975305.0
54289,55895882,1552975281.0
54291,55895887,1552975260.0
54292,55895889,1552975238.0
54293,55895891,1552975218.0
54290,55895892,1552975197.0
54243,55895895,1552465175.0
54423,55895898,1552999047.0
54451,55895902,1553001002.0
54097,55895905,1552809570.0
54323,55895909,1552975164.0
53662,55895910,1552975137.0
53918,55895914,1552998175.0
54355,55895919,1553005536.0
49667,55895922,1552976756.0
54462,55895949,1552849038.0
53623,55895951,1552997921.0
54508,55895953,1552995558.0
54567,55895955,1552999167.0
47596,,1547631175.0
40982,55895984,1552808764.0
52204,,1552980256.0
54433,55895992,1552814434.0
54434,55895993,1552814357.0
52987,55895996,1552476439.0
52737,55896001,1552990651.0
53092,55896002,1552980268.0
48460,55896004,1552980277.0
54214,55896005,1552980401.0
52492,,1552980418.0
52963,55896010,1551621076.0
53384,55896013,1553002105.0
53391,55896016,1552981489.0
54242,55896017,1552981497.0
49929,55896019,1552919836.0
52748,55896020,1552997057.0
52928,,1552981532.0
54540,55896051,1552982760.0
54541,55896052,1552982874.0
52700,55896055,1552981541.0
51307,,1552919885.0
51291,55896064,1552904247.0
51292,55896066,1552566432.0
51293,55896068,1552566470.0
53122,,1552919899.0
53179,55896075,1551088457.0
52697,,1552919911.0
52698,55896094,1550164208.0
